Date of Flare,Date of Sighting,Flare occur on date of sighting ,,,,,,
2-Nov-08,01-Jan-08,No,,,,,,
11-Dec-08,02-Jan-08,No,,,,,,
6-Jul-09,03-Jan-08,No,,,,,,
25-Oct-09,04-Jan-08,No,,,,,,
26-Oct-09,05-Jan-08,No,,,,,,
27-Oct-09,06-Jan-08,No,,,,,,
10-Dec-09,07-Jan-08,No,,,,,,
16-Dec-09,08-Jan-08,No,,,,,,
18-Dec-09,09-Jan-08,No,,,,,,
19-Dec-09,10-Jan-08,No,,,,,,
21-Dec-09,11-Jan-08,No,,,,,,
22-Dec-09,12-Jan-08,No,,,,,,
2-Jan-10,01-Feb-08,No,,,,,,
4-Jan-10,02-Feb-08,No,,,,,,
17-Jan-10,03-Feb-08,No,,,,,,
18-Jan-10,04-Feb-08,No,,,,,,
19-Jan-10,05-Feb-08,No,,,,,,
20-Jan-10,06-Feb-08,No,,,,,,
21-Jan-10,07-Feb-08,No,,,,,,
6-Feb-10,08-Feb-08,No,,,,,,
7-Feb-10,09-Feb-08,No,,,,,,
8-Feb-10,10-Feb-08,No,,,,,,
9-Feb-10,11-Feb-08,No,,,,,,
10-Feb-10,12-Feb-08,No,,,,,,
12-Feb-10,01-Mar-08,No,,,,,,
13-Feb-10,02-Mar-08,No,,,,,,
14-Feb-10,03-Mar-08,No,,,,,,
15-Feb-10,04-Mar-08,No,,,,,,
14-Mar-10,05-Mar-08,No,,,,,,
26-Mar-10,06-Mar-08,No,,,,,,
27-Mar-10,07-Mar-08,No,,,,,,
30-Apr-10,08-Mar-08,No,,,,,,
1-May-10,09-Mar-08,No,,,,,,
5-May-10,10-Mar-08,No,,,,,,
7-May-10,11-Mar-08,No,,,,,,
8-May-10,12-Mar-08,No,,,,,,
12-Jun-10,01-Apr-08,No,,,,,,
13-Jun-10,02-Apr-08,No,,,,,,
14-Jun-10,03-Apr-08,No,,,,,,
9-Jul-10,04-Apr-08,No,,,,,,
13-Jul-10,05-Apr-08,No,,,,,,
27-Jul-10,06-Apr-08,No,,,,,,
28-Jul-10,07-Apr-08,No,,,,,,
1-Aug-10,08-Apr-08,No,,,,,,
14-Aug-10,09-Apr-08,No,,,,,,
15-Aug-10,10-Apr-08,No,,,,,,
16-Aug-10,11-Apr-08,No,,,,,,
18-Aug-10,12-Apr-08,No,,,,,,
6-Sep-10,01-May-08,No,,,,,,
15-Sep-10,02-May-08,No,,,,,,
20-Sep-10,03-May-08,No,,,,,,
28-Sep-10,04-May-08,No,,,,,,
4-Oct-10,05-May-08,No,,,,,,
17-Oct-10,06-May-08,No,,,,,,
18-Oct-10,07-May-08,No,,,,,,
25-Oct-10,08-May-08,No,,,,,,
27-Oct-10,09-May-08,No,,,,,,
31-Oct-10,10-May-08,No,,,,,,
3-Nov-10,11-May-08,No,,,,,,
5-Nov-10,12-May-08,No,,,,,,
6-Nov-10,01-Jun-08,No,,,,,,
7-Nov-10,02-Jun-08,No,,,,,,
11-Nov-10,03-Jun-08,No,,,,,,
12-Nov-10,04-Jun-08,No,,,,,,
15-Nov-10,05-Jun-08,No,,,,,,
1-Dec-10,06-Jun-08,No,,,,,,
15-Dec-10,07-Jun-08,No,,,,,,
4-Jan-11,08-Jun-08,No,,,,,,
14-Jan-11,09-Jun-08,No,,,,,,
21-Jan-11,10-Jun-08,No,,,,,,
28-Jan-11,11-Jun-08,No,,,,,,
