COMPONENT,Site Name,Joint Base,State Terr,COUNTRY,Oper Stat,PERIMETER,AREA,Shape_Leng,Shape_Area,latitude,longitude
Army Active,Pohakuloa Training Area,N/A,Hawaii,United States,Active,89.06464246,205.6747692,152591.132,604225947.3,19.71441706,-155.6266008
Army Active,Military Ocean Tml Sunny Point,N/A,North Carolina,United States,Active,40.63022482,18.03094326,80617.74116,68147513.85,34.01821197,-77.9732412
Army Active,Waianae Kai Military Reservation,N/A,Hawaii,United States,Active,1.01506332,0.02107027,1765.97557,63304.54806,21.44691972,-158.1910815
Army Active,Picatinny Arsenal,N/A,New Jersey,United States,Active,21.652624,10.27481807,47441.75799,46701010.1,40.95430964,-74.54462551
Navy Active,Arlington Service Ctr,N/A,Virginia,United States,Active,0.80304023,0.03030048,1713.357672,129642.211,38.86773485,-77.07933502
Navy Active,CBC Gulfport MS,N/A,Mississippi,United States,Active,6.73341033,1.75055909,12954.98135,6111917.727,30.3779481,-89.1263993
AF Active,UTTR - North,N/A,Utah,United States,Active,129.8917705,575.8092551,288482.4218,2622709438,41.0243232,-113.2169424
AF Reserve,March ARB,N/A,California,United States,Active,14.77766976,3.37656166,29316.22708,12723292.68,33.88885011,-117.2584724
AF Active,Newington Defense Fuel Support Point,N/A,New Hampshire,United States,Active,2.11401517,0.25103042,4802.676505,1220633.495,43.11380991,-70.81476575
AF Active,Gila Bend Air Force Auxiliary Field,N/A,Arizona,United States,Active,7.41839854,3.14372097,14524.71613,11579261.29,32.89015453,-112.7281844
AF Active,Lakehurst,Joint Base McGuire - Dix - Lakehurst,New Jersey,United States,Active,19.03346649,11.62878241,41616.62165,51425864.88,40.02721202,-74.37526019
AF Active,Randolph AFB,Joint Base San Antonio,Texas,United States,Active,16.99211849,4.5043611,32130.76064,15463013.59,29.52948634,-98.27833947
Army Guard,NG Macon Readiness Center,N/A,Georgia,United States,Active,0.83216291,0.04500699,1633.926757,165667.5185,32.86139174,-83.60565449
Army Guard,NG MTA Camp Butner,N/A,North Carolina,United States,Active,12.78003577,7.67854008,26269.57425,30603785.42,36.20152594,-78.80133379
Army Guard,NG MTA Camp Rilea,N/A,Oregon,United States,Active,8.89484029,2.81777389,21117.39325,15190718.15,46.12882645,-123.9443466
Army Guard,NG Frankfort Boone NG Center,N/A,Kentucky,United States,Active,6.58181753,0.55610637,13914.79639,2335016.537,38.18530529,-84.90899282
Navy Active,Makaha Ridge,N/A,Hawaii,United States,Active,2.4600103,0.32285486,4309.62845,979193.3599,22.13034661,-159.725349
Navy Active,NOLF Wolf,N/A,Alabama,United States,Active,5.45687663,0.65753993,10409.16634,2294183.927,30.34468502,-87.54077009
Navy Active,NAVSUPPACT Annapolis,N/A,Maryland,United States,Active,2.65869576,0.29358261,5704.206949,1260123.036,38.98206687,-76.48385585
AF Active,Jonathan Dickinson Tracking Annex,N/A,Florida,United States,Active,1.3989964,0.01747948,2589.572607,57233.37854,26.9825206,-80.10686143
Army Active,Fort Myer,Joint Base Myer - Henderson Hall,Virginia,United States,Active,4.68079801,0.42035691,9953.063202,1799070.596,38.87870644,-77.07898859
Army Active,Stewart Annex,N/A,New York,United States,Active,0.54336624,0.01577849,1212.77119,72897.14707,41.49258734,-74.09433575
Army Reserve,Joliet USARC/JTA,N/A,Illinois,United States,Active,11.83918838,5.58295189,26499.10327,25739731.5,41.42435722,-88.14258407
Army Active,Fort Stewart,N/A,Georgia,United States,Active,103.5555457,436.7186247,202520.3297,1577181301,31.99356501,-81.61677234
Navy Active,OLF Bronson,N/A,Florida,United States,Active,5.88567119,1.57085256,11279.55833,5485100.981,30.38375301,-87.41411046
Navy Active,Woolmarket (De Soto),N/A,Mississippi,United States,Active,8.04069854,3.85768895,15331.88434,13513596.21,30.54170212,-88.97182109
AF Active,Hanscom AFB,N/A,Massachusetts,United States,Active,6.41800403,1.21215943,14472.49499,5771393.999,42.45832115,-71.27726803
AF Active,Tinker Aerospace Complex,N/A,Oklahoma,United States,Active,3.46725513,0.63548128,7078.929225,2482240.002,35.39436722,-97.39715882
AF Active,USAF Academy Auxiliary Airfield,N/A,Colorado,United States,Active,6.72971098,0.30681337,13987.11583,1308795.71,38.76028858,-104.3013421
AF Active,Joint Base Charleston North Yard,Joint Base Charleston,South Carolina,United States,Active,1.06825756,0.03300759,2099.824886,121535.4099,32.87512778,-79.97007783
AF Guard,Charlotte/Douglas IAP,N/A,North Carolina,United States,Active,1.92858881,0.16333019,3902.667363,635217.0352,35.21633611,-80.92986204
Army Guard,NG Springfield (TS Cp Lincoln),N/A,Illinois,United States,Active,2.46815507,0.2562384,5244.487322,1126480.324,39.82337022,-89.67087427
Army Guard,NG Camp Bowie - Musgrave (Fed),N/A,Texas,United States,Active,11.19145897,6.03023797,21613.38473,21601785.66,31.6129211,-98.90770167
Army Guard,NG Camp Maxey,N/A,Texas,United States,Active,22.80959661,10.32054302,45332.33353,38808080.59,33.79908408,-95.56028939
Army Guard,NG MTA-L Camp Williams,N/A,Utah,United States,Active,34.06452565,37.68674035,74847.23881,168625923.3,40.42736642,-112.0181739
Army Guard,NG AASF Byrd Field,N/A,Virginia,United States,Active,1.63505101,0.14217784,3425.673709,585982.3398,37.49413999,-77.31266012
Army Guard,NG Ft Ruger,N/A,Hawaii,United States,Active,4.54397973,0.49936256,7892.287831,1496588.041,21.26280488,-157.8045568
Navy Active,Tanguisson Point,Joint Region Marianas,Guam,Guam,Active,0.9294717,0.04538742,1515.632093,125117.8856,13.5415721,144.8085198
Navy Active,Dryside,N/A,California,United States,Active,4.73740202,0.50683241,9296.510352,1858297.79,32.68487934,-117.119468
Navy Active,National City,N/A,California,United States,Active,0.73978875,0.02220507,1437.34765,81391.52086,32.67209209,-117.1132705
Navy Active,NAVSUPPACT Monterey CA,N/A,California,United States,Active,1.886148,0.20787741,3911.795065,836930.8448,36.59734315,-121.8734054
Navy Active,Pumpkin Neck,N/A,Virginia,United States,Active,9.10789486,2.5481702,19314.34841,10733437,38.3019873,-77.04219488
AF Active,Los Angeles AFB,N/A,California,United States,Active,1.26877697,0.09079747,2517.994687,342373.579,33.9189437,-118.3810999
Navy Active,NAVSUPPACT Mechanicsburg PA,N/A,Pennsylvania,United States,Active,6.03099999,1.23362549,13115.55442,5487413.819,40.22749552,-76.98645959
AF Active,King Salmon Airport,N/A,Alaska,United States,Active,3.60386773,0.57246344,11204.82253,5473801.22,58.69135014,-156.6629741
Army Active,Kawaihae Mil Reserve,N/A,Hawaii,United States,Active,2.68212787,0.03805322,4607.015719,112234.7886,20.03188435,-155.8299668
Army Active,Fort Belvoir,N/A,Virginia,United States,Active,28.7203872,13.00441116,60969.40817,55394071.02,38.70847671,-77.15651603
Navy Active,Naval Support Activity Crane,N/A,Indiana,United States,Active,66.85914639,96.85457877,143070.9726,414091330.9,38.84119007,-86.8124515
Navy Active,Naval Magazine,Joint Region Marianas,Guam,Guam,Active,18.03170231,13.49802508,29423.34162,37153812.89,13.35942685,144.6922819
AF Active,Tinker AFB,N/A,Oklahoma,United States,Active,18.41947701,6.94229693,37387.25917,27134323.48,35.41918538,-97.39292935
AF Active,Ellsworth AFB Site 2,N/A,South Dakota,United States,Active,9.40315679,2.00127812,21780.71889,10063721.48,44.13319534,-103.091
AF Reserve,Homestead ARB,N/A,Florida,United States,Active,13.02372709,4.60854128,23588.89556,14712423.34,25.49449812,-80.39149441
AF Active,Lackland Training Annex,Joint Base San Antonio,Texas,United States,Active,10.01285806,6.20617017,18855.24771,21238465.92,29.3687557,-98.66501235
AF Active,Yukon Weapons Range,N/A,Alaska,United States,Active,27.83782608,34.78530348,101734.7334,493808725.2,64.76824281,-146.8894923
AF Guard,Jacksonville IAP,N/A,Florida,United States,Active,3.48761262,0.53484249,6698.84271,1871460.26,30.48639231,-81.70544028
AF Guard,Site 1 Cantonement Area,N/A,Ohio,United States,Active,2.29287661,0.11022888,5042.60232,498869.4515,40.81166503,-82.51795604
AF Guard,Martin State Airport,N/A,Maryland,United States,Active,2.79530963,0.27366956,5996.316514,1186354.991,39.33179786,-76.41507566
AF Guard,Salt Lake City IAP,N/A,Utah,United States,Active,2.10467974,0.21874313,4558.360106,989331.3487,40.78963517,-111.9566598
Army Guard,NG Carville Gillis Long Center,N/A,Louisiana,United States,Active,3.02134805,0.55599906,5730.987816,1934301.352,30.20112013,-91.12895049
Army Guard,NG Springfield AVCRAD (New),N/A,Missouri,United States,Active,1.69441782,0.16758983,3530.155195,686341.7586,37.25327548,-93.39095789
Army Guard,NG Alcantra Armory Complex,N/A,Alaska,United States,Active,3.02871493,0.50008399,10131.42926,5705637.735,61.60305033,-149.3748498
Army Guard,NG Camp Adair Corvallis,N/A,Oregon,United States,Active,3.53887273,0.82438456,8291.283503,4228533.54,44.71433608,-123.2706959
Army Guard,NG Kalaeloa,N/A,Hawaii,United States,Active,3.28122554,0.27013821,5702.15672,810216.4737,21.31899173,-158.0624848
Navy Active,Aiea,Joint Base Pearl Harbor - Hickam,Hawaii,United States,Active,4.24991052,0.18263595,7389.107391,548175.4601,21.37351527,-157.9379877
Navy Active,Ewa,Joint Base Pearl Harbor - Hickam,Hawaii,United States,Active,15.95191438,4.88214868,27726.00148,14646773.32,21.33887774,-157.9951393
Navy Active,Sewage Evaporation Pond,N/A,California,United States,Active,3.59413662,0.67341027,7450.282932,2686838.15,36.24376468,-119.883529
AF Active,Moody AFB,N/A,Georgia,United States,Active,23.41130784,16.82885422,45019.8119,59476505.21,30.97252768,-83.16469304
Army Active,Goldberg Stagefield AL,N/A,Alabama,United States,Active,1.74920071,0.1611586,3353.054528,574868.1559,31.4151605,-85.46340251
Army Active,Wheeler Army Airfield,N/A,Hawaii,United States,Active,8.3033019,2.15499542,14446.79481,6477075.005,21.47541225,-158.0355368
Army Active,Milan AAP,N/A,Tennessee,United States,Active,32.4607757,34.89137292,65939.06969,137921723.5,35.87383818,-88.70612844
Army Active,Longhorn AAP,N/A,Texas,United States,Inactive,22.00880125,2.27178501,43161.63125,8327679.805,32.67503031,-94.13387776
Army Active,Camp Frank D Merrill,N/A,Georgia,United States,Active,142.2491699,538.7929371,287335.592,2069974327,34.71046392,-84.16587636
Navy Active,Allegany Ballistics Lab,N/A,West Virginia,United States,Active,9.06818726,2.37061099,19516.21805,10339954.61,39.54925304,-78.84573454
Navy Active,Nimitz Hill,Joint Region Marianas,Guam,Guam,Active,1.50769849,0.1087056,2451.491618,299477.1926,13.4658622,144.7232042
AF Active,White Bluff,N/A,Washington,United States,Active,1.79215737,0.12879417,4444.181421,736074.1117,47.70271344,-117.5775085
AF Active,The Barry M Goldwater Air Force Range,N/A,Arizona,United States,Active,227.5686151,1640.940826,449895.7534,6011062623,32.64061507,-113.0558683
Army Guard,NG Hammond Airport,N/A,Louisiana,United States,Active,2.06225862,0.15859909,3948.260765,555368.5984,30.52309823,-90.41218254
Army Guard,NG MTA Clarks Hill Reservation,N/A,South Carolina,United States,Active,13.51804618,1.35364902,26914.1319,5089533,33.79443945,-82.27777063
Army Guard,NG Lane County AFRC FMS 5,N/A,Oregon,United States,Active,0.98447716,0.03507817,2310.930717,176006.7998,44.06566794,-122.9777834
Army Guard,NG Bog Brook Training Site,N/A,Maine,United States,Active,5.18572211,0.32564175,12211.0532,1652279.565,44.39651203,-70.93654099
Navy Active,San Pedro Fuel Depot,N/A,California,United States,Active,3.64191759,0.52573713,7215.977673,1975721.322,33.77305325,-118.3010273
Navy Active,Target 101 Shade Tree,N/A,California,United States,Active,30.40928408,30.0504707,60054.42855,110830596.5,32.94895668,-115.7506566
AF Active,Ramey AF Solar Observatory Research Site,N/A,Puerto Rico,Puerto Rico,Active,0.30330346,0.0044406,514.2842026,12858.93227,18.50943271,-67.09912881
AF Active,Nellis Air Force Range,N/A,Nevada,United States,Active,489.0933186,4513.483912,1017173.782,18511550560,37.30639721,-116.19855
Army Active,Fort Sill,N/A,Oklahoma,United States,Active,72.88549435,146.4460728,148126.5819,562245432.4,34.68225882,-98.48341452
Army Active,Fort Benning GA,N/A,Georgia,United States,Active,91.3953849,264.4117066,178635.3505,963391385.5,32.39994966,-84.8006218
Army Active,Red River Army Depot,N/A,Texas,United States,Active,21.66517594,23.31161452,43113.00708,86924623.67,33.43374133,-94.35567152
Army Active,Fort Monmouth Main Post,N/A,New Jersey,United States,Inactive,16.06671107,1.56333404,35123.87206,6970273.197,40.30705288,-74.05838067
Army Active,Destin Moreno Point,N/A,Florida,United States,Active,0.60143192,0.01995549,1146.545944,69719.26293,30.41109963,-86.49890342
MC Active,MCSF Blount Island (FL),N/A,Florida,United States,Active,5.37139127,1.42281536,10259.36665,4969927.778,30.40132743,-81.52502318
MC Reserve,Brooklyn NY,N/A,New York,United States,Active,1.82389359,0.14775903,4001.292392,664160.3807,40.58148312,-73.88162963
Navy Active,Northwest Chesapeake VA,N/A,Virginia,United States,Active,10.78732087,5.72972729,22166.66657,23045684.35,36.55909855,-76.26748548
Navy Active,Naval Research Lab,N/A,District of Columbia,United States,Active,2.8926428,0.21170459,6118.929901,904686.7198,38.82404161,-77.02335296
Navy Active,FLC Fuel Depot Heckscher,N/A,Florida,United States,Active,3.36317933,0.25929821,6454.696425,905717.8941,30.40018297,-81.62743346
Navy Active,OLF Bravo,N/A,Mississippi,United States,Active,11.64139593,2.23160698,22973.27576,8202497.357,32.79647316,-88.8318661
AF Active,Eglin Air Force Auxiliary Field 6,N/A,Florida,United States,Active,6.30215526,1.33629277,12020.76571,4689711.433,30.63176499,-86.74097206
AF Active,Fort Eustis,N/A,Virginia,United States,Active,27.5111714,12.28342762,57091.29918,50145217.31,37.1322039,-76.58869229
AF Reserve,Pittsburgh IAP (ARS),N/A,Pennsylvania,United States,Active,1.93084436,0.21399477,4205.557877,959379.7105,40.49357343,-80.21105025
Army Guard,NG MTA Camp Clark Nevada,N/A,Missouri,United States,Active,5.73416917,1.96980447,12151.98956,8189607.376,37.82029694,-94.29147296
Army Guard,NG Arden Hills Army Training Site,N/A,Minnesota,United States,Active,8.07315006,2.34352354,18929.35763,12179601.34,45.09489621,-93.1610981
Navy Active,NOLF Silverhill,N/A,Alabama,United States,Active,5.2584411,0.63128234,10075.80205,2212315.401,30.56195547,-87.80933778
Navy Active,San Clemente IS NALF,N/A,California,United States,Active,56.74950756,56.38476691,111506.527,207728521.5,32.90015201,-118.4852338
Navy Active,Long Beach Fuel Complex,N/A,California,United States,Active,0.83959503,0.01730453,1655.904288,64983.91058,33.74202221,-118.2334074
AF Active,Shaw AFB,N/A,South Carolina,United States,Active,16.52208168,5.2533509,33005.82205,19834824.53,33.97485907,-80.47041943
Army Active,Military Ocean Terminal Concord,N/A,California,United States,Active,34.93170367,9.31225766,74106.46466,38958616.55,38.05139714,-122.0187954
Army Active,Fort Campbell KY,N/A,Kentucky,United States,Active,65.30685697,57.96505553,136190.2527,233807524,36.66978171,-87.6718272
Army Active,Rock Island Arsenal,N/A,Illinois,United States,Active,10.12334765,1.40384772,22616.45343,6490725.646,41.51707487,-90.54115613
MC Reserve,Jacksonville FL Maint,N/A,Florida,United States,Active,2.27205097,0.17706,4372.698995,618548.0294,30.40530128,-81.62167354
MC Active,Puuloa-Oahu,N/A,Hawaii,United States,Active,2.26757498,0.24891757,3940.802319,746563.4806,21.3182155,-157.9880546
Navy Active,Fort Adams RI,N/A,Rhode Island,United States,Active,1.24001498,0.03755488,2748.357763,173414.2708,41.47534329,-71.33993588
Navy Active,NAVSTA Mayport FL,N/A,Florida,United States,Active,14.6884409,5.36687841,28068.65789,18739358.95,30.38158619,-81.4248273
Navy Active,NAS Corpus Christi TX,N/A,Texas,United States,Active,13.66429392,4.41900068,25380.39325,14653541.78,27.69248868,-97.27931989
AF Active,Hurlburt Field,N/A,Florida,United States,Active,15.08632469,9.97662301,28951.18577,34867579.75,30.42919065,-86.69871003
AF Reserve,Minn-St Paul,N/A,Minnesota,United States,Active,4.33354996,0.3590452,10139.1838,1852960.256,44.89249031,-93.20715835
AF Active,Vandenberg Main Base,N/A,California,United States,Active,97.65642847,154.771353,195856.3131,594654609.8,34.71357271,-120.5581456
AF Guard,Will Rogers World Airport,N/A,Oklahoma,United States,Active,1.78869294,0.21183731,3624.130824,827738.1589,35.40765975,-97.61167134
Army Guard,NG MTCH Camp Guernsey,N/A,Wyoming,United States,Active,131.3631221,123.2318046,295060.8369,584514953.1,42.33822829,-104.8094491
Army Guard,NG Fort Chaffee MTC,N/A,Arkansas,United States,Active,82.34844951,101.7510307,167345.132,396115087.5,35.25652078,-94.16343924
Army Guard,NG MTA Camp Shelby,N/A,Mississippi,United States,Active,109.7643707,216.3044083,211570.5653,766339119.1,31.09024636,-89.00686769
Army Guard,NG Picacho Aviation TS,N/A,Arizona,United States,Active,2.96368502,0.51344293,5816.398863,1881634.143,32.66291646,-111.4880328
Army Guard,NG MTA Camp Edwards,N/A,Massachusetts,United States,Active,36.9530397,32.11642959,81942.11541,149331098.7,41.70035166,-70.54483941
Army Guard,NG MTA Camp Fretterd,N/A,Maryland,United States,Active,4.25629409,0.91768655,9207.764355,3996837.13,39.49799315,-76.84569869
Navy Active,NALF Goliad,N/A,Texas,United States,Active,9.67671358,1.77579793,18097.61816,5989550.523,28.61118073,-97.61215495
Navy Active,Naval Hospital,N/A,Florida,United States,Active,0.64248908,0.02430987,1151.03668,76457.84164,24.56889121,-81.7508074
Navy Active,Gambrills,N/A,Maryland,United States,Active,6.29121013,1.30537598,13439.99399,5614751.759,39.05670832,-76.67627645
Navy Active,NAVACAD North Severn,N/A,Maryland,United States,Active,9.39997803,1.28355894,19943.69552,5510561.93,38.98985169,-76.46242643
Navy Active,Navy Annex,N/A,California,United States,Active,2.35051998,0.18969614,4881.052147,763619.3722,36.59165412,-121.8607963
Navy Active,Potts Tank Farm,Joint Region Marianas,Guam,Guam,Active,0.71370768,0.03023694,1158.583738,83384.52987,13.58672445,144.8622775
Navy Active,Stump Neck Area,N/A,Maryland,United States,Active,16.24247393,1.73972264,34481.1124,7378003.164,38.54911373,-77.21316827
AF Active,Keesler AFB,N/A,Mississippi,United States,Active,9.50161188,2.22337201,18163.00263,7767368.53,30.40782554,-88.92168551
Navy Active,Shipyard Puget Sound,N/A,Washington,United States,Active,3.25852438,0.45793782,8015.086123,2603017.165,47.5591924,-122.6354821
Army Active,Fort Gordon,N/A,Georgia,United States,Active,49.52881821,86.73309413,98362.81906,322843994.9,33.35666281,-82.23727952
Army Active,Camp Mackall,N/A,North Carolina,United States,Active,23.49752201,12.45540982,47586.12913,48222074.17,35.03010228,-79.48162417
Army Active,Indiana Army Ammunition Plant,N/A,Indiana,United States,Inactive,6.66736653,2.40291953,14132.2844,10163590.76,38.45226726,-85.60600594
MC Active,MCAS Beaufort,N/A,South Carolina,United States,Active,54.03658199,11.89888126,105881.2554,43434781.65,32.48483487,-80.70718735
Navy Active,NAVSUPPACT Norfolk NSY,N/A,Virginia,United States,Active,4.439523,0.72651883,9213.016698,2941604.1,36.81647564,-76.29942226
Navy Active,Lafayette Rvr Complex,N/A,Virginia,United States,Active,0.70323455,0.03096726,1453.263218,125662.8678,36.90226396,-76.30234423
Navy Active,Bangor WA,N/A,Washington,United States,Active,17.15905357,11.39643406,41738.29131,65183622.59,47.72339215,-122.7148398
AF Active,Eglin Air Force Auxiliary Field 3 Duke Fld,N/A,Florida,United States,Active,8.31817313,3.04210819,15928.52942,10680031.29,30.64907055,-86.52769121
AF Active,Wright-Patt AFB,N/A,Ohio,United States,Active,14.60653863,8.1629264,31571.47078,35879831.52,39.81742116,-84.05070574
AF Active,Lackland AFB,Joint Base San Antonio,Texas,United States,Active,13.39987668,4.13361456,25184.49302,14150797.39,29.38670604,-98.61808318
Army Guard,NG Sparta Armory,N/A,Illinois,United States,Active,13.35758693,4.11467525,28024.71295,17264901.14,38.16000474,-89.72394095
Army Guard,NG MTA Camp Crowder Neosho,N/A,Missouri,United States,Active,17.96236907,6.71082639,37032.87734,27155687.96,36.79396796,-94.3642922
Army Guard,NG Hollidaysburg Readiness Center,N/A,Pennsylvania,United States,Active,0.93422328,0.03497157,2039.109805,156532.911,40.43945504,-78.41479109
Army Guard,NG Camp Beauregard,N/A,Louisiana,United States,Active,7.36266735,1.12165463,14330.78874,3997898.752,31.37765771,-92.38668525
Army Guard,NG Helena Aviation RC- AASF- C12,N/A,Montana,United States,Active,1.25925768,0.09363348,3045.74751,513667.4062,46.60847156,-111.9710414
Army Guard,NG Lansing Joint Forces Readiness Center,N/A,Michigan,United States,Active,1.27272813,0.09081836,2908.44868,436700.8865,42.76814806,-84.57130826
Army Guard,NG Camp Perry Joint Training Center,N/A,Ohio,United States,Active,7.49106579,0.80303791,16511.69905,3715882.619,41.54343955,-83.02213328
Army Guard,NG Oklahoma Military Department,N/A,Oklahoma,United States,Active,1.75144767,0.08793367,3524.914527,344407.3369,35.50351849,-97.470168
Army Guard,NG Salina KS Training Center,N/A,Kansas,United States,Active,3.26458622,0.08301531,6943.093841,354374.7067,38.78572047,-97.63886226
Navy Active,NAVOBSSTA Flagstaff AZ,N/A,Arizona,United States,Active,4.23170158,0.44851887,8576.199902,1743140.536,35.1875403,-111.7415948
Navy Active,Target B-16,N/A,Nevada,United States,Active,42.94972842,43.30089688,92479.6466,187738505.2,39.33943301,-118.8807801
Navy Active,Barin Field,N/A,Alabama,United States,Active,9.4056082,1.32276048,17930.59281,4619503.439,30.39107831,-87.63131918
Navy Active,Old Town Site 1,N/A,California,United States,Active,1.59270899,0.07365039,3116.710025,270421.6852,32.74867434,-117.1970089
Navy Active,Broadway Complex,N/A,California,United States,Active,0.68642006,0.02393591,1332.981839,87816.93547,32.71365614,-117.1720249
Navy Active,Mission Gorge Rec Area,N/A,California,United States,Active,4.94075137,0.70028492,9696.044516,2574446.937,32.80481907,-117.093958
AF Active,McGuire,Joint Base McGuire - Dix - Lakehurst,New Jersey,United States,Active,12.06451918,4.9862457,26169.31894,22049494.46,40.02564942,-74.58013297
Navy Active,Northside Mid-South,N/A,Tennessee,United States,Active,4.78180649,0.64515194,9767.138141,2516879.203,35.34279089,-89.85974818
Navy Active,NSWC Carderock Div,N/A,Tennessee,United States,Active,1.4049036,0.10019131,2853.527622,388435.7675,35.08720362,-90.13904986
Army Active,Fort A P Hill,N/A,Virginia,United States,Active,56.23083171,116.5807958,118382.1619,488607985.2,38.11803275,-77.27590523
Army Active,Tobyhanna Army Depot,N/A,Pennsylvania,United States,Active,7.00588776,2.27905895,15384.88709,10435042.57,41.19753819,-75.42910999
MC Active,MCAS Yuma,N/A,Arizona,United States,Active,14.75257572,7.42796297,28849.24445,27210761.83,32.64539667,-114.6022408
Navy Active,NNSY St Helena,N/A,Virginia,United States,Active,0.59946344,0.01914829,1248.571233,77547.71835,36.82554633,-76.28926492
Navy Active,Cheatham Annex,N/A,Virginia,United States,Active,18.5978649,3.58828419,38988.59129,14707549.2,37.28496587,-76.61948268
Navy Active,JEBLCFS Wallops Island VA,Joint Expeditionary Base Little Creek - Fort Story,Virginia,United States,Active,37.07550981,10.10759615,77925.90133,42097627.54,37.88614512,-75.46863795
Navy Active,GL Camp JPJ,N/A,Illinois,United States,Active,2.36192457,0.07713146,5312.919769,365412.005,42.30031134,-87.85397029
Navy Active,NAS Pensacola FL,N/A,Florida,United States,Active,25.50381109,8.50791146,48677.11899,29689275.66,30.35270677,-87.30633567
Navy Active,Corry Station,N/A,Florida,United States,Active,4.38100437,0.91986194,8408.615522,3213211.619,30.40286042,-87.29008518
AF Active,Clear Air Force Station,N/A,Alaska,United States,Active,19.99637984,17.9384353,72217.73738,245806092.5,64.28816058,-149.1907147
AF Guard,Joe Foss Field,N/A,South Dakota,United States,Active,1.98740466,0.14433221,4577.593125,712421.3597,43.57323381,-96.74153132
AF Guard,Des Moines IAP,N/A,Iowa,United States,Active,2.6823807,0.25286069,5958.040595,1170091.612,41.54436058,-93.66606895
AF Guard,EWVRA Shepherd Field,N/A,West Virginia,United States,Active,4.96366638,0.4879501,10746.24383,2119656.613,39.40601156,-77.98459393
Army Guard,NG Camp Hartell,N/A,Connecticut,United States,Active,1.44216235,0.09039005,3239.406886,423445.8163,41.94208199,-72.66587574
Army Guard,NG Martindale - AASF,N/A,Texas,United States,Active,2.37904298,0.32936286,4488.04508,1128506.545,29.43181578,-98.37950779
Army Guard,NG Marseilles (MTA Tng Area),N/A,Illinois,United States,Active,10.69083675,4.46138328,23634.84836,20482832.74,41.28694552,-88.6795863
Army Guard,NG Hollis Plains Training Site,N/A,Maine,United States,Active,3.48767224,0.64282798,7931.471202,3183053.352,43.6687895,-70.66374994
Army Guard,NG Thunderbird Youth Academy,N/A,Oklahoma,United States,Active,5.65304877,0.8262293,11684.28554,3300912.476,36.29569392,-95.29212708
Army Guard,NG Fort McClellan ARNG Tng Center,N/A,Alabama,United States,Active,5.8097707,0.79923366,11573.65154,3000765.679,33.73338733,-85.78783452
Army Guard,NG CTA Camp Mccain,N/A,Mississippi,United States,Active,27.8469078,20.27045612,55390.01124,76066857.6,33.71088214,-89.68593352
Army Guard,NG Camp Smith Tng Site,N/A,New York,United States,Active,8.30072676,2.48001696,18392.38433,11394706.63,41.31182409,-73.95090461
Navy Active,Harmon,Joint Region Marianas,Guam,Guam,Active,0.29969464,0.00540163,488.8994125,14888.08272,13.52192049,144.8156369
Navy Active,NAVBASE Point Loma,N/A,California,United States,Active,11.58325743,1.79191532,22533.37998,6571698.654,32.69620207,-117.2458224
Navy Active,NSA Andersen,Joint Region Marianas,Guam,Guam,Active,27.02002561,24.08388864,43945.83992,66423261.6,13.59918885,144.8950322
Navy Active,Dania Beach (Lauderdale),N/A,Florida,United States,Active,0.62034361,0.01514858,1136.364331,48845.05899,26.09180293,-80.11001146
Army Active,Fort Campbell TN,N/A,Tennessee,United States,Active,53.88963469,105.5917408,112830.5875,425111055.3,36.59649435,-87.5990469
