year,sightings
1906,0
1907,0
1908,0
1909,0
1910,2
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,1
1921,0
1922,0
1923,0
1924,0
1925,1
1926,0
1927,0
1928,0
1929,1
1930,1
1931,2
1932,0
1933,1
1934,1
1935,0
1936,1
1937,2
1938,0
1939,3
1940,0
1941,1
1942,2
1943,5
1944,6
1945,8
1946,8
1947,35
1948,7
1949,16
1950,26
1951,17
1952,45
1953,31
1954,48
1955,28
1956,43
1957,69
1958,44
1959,47
1960,58
1961,43
1962,66
1963,78
1964,85
1965,178
1966,171
1967,167
1968,200
1969,135
1970,124
1971,110
1972,135
1973,211
1974,240
1975,282
1976,251
1977,232
1978,295
1979,215
1980,214
1981,151
1982,161
1983,130
1984,161
1985,194
1986,167
1987,188
1988,212
1989,223
1990,217
1991,204
1992,216
1993,259
1994,364
1995,1009
1996,722
1997,1118
1998,1583
1999,2529
2000,2429
2001,2639
2002,2663
2003,3209
2004,3554
2005,3518
2006,3158
2007,3746
2008,4322
2009,3964
2010,3835
2011,4754
2012,6757
2013,6488
2014,2098
