datetime,date,year,month,date,day,time,city,"location (land, in space, at sea, in flight)",state,country,country name,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,sightings
06/04/2006 23:45:00,2006-06-04,2006,Jun,04,Sunday,23:45:00,ahmecgarh (india),land,Punjab,in,India,,120,1-2 mins,IT WAS OUT OF THE WORLD .,7/16/2006,30.6873,75.8316,1
02/28/2001 19:05:00,2001-02-28,2001,Feb,28,Wednesday,19:05:00,ahmedabad (india),land,Gujarat,in,India,egg,300,@ 5 min.,Dear all&#44 Till today I was not believeing in this thing but yesterday we have found really very typical experience at Ahmedabad city in,3/6/2001,23.022505,72.571362,1
05/16/2001 00:30:00,2001-05-16,2001,May,16,Wednesday,0:30:00,ahmedabad (india),land,Gujarat,in,India,sphere,300,5 mins,Flaming UFO,8/5/2001,23.022505,72.571362,1
12/25/2005 07:20:00,2005-12-25,2005,Dec,25,Sunday,7:20:00,ahmedabad-vadodra express highway. gujarat (india),land,Gujarat,in,India,fireball,300,5 mins,Yellowish-orange light(seems something was burning)observed in the EAST sky from Ahmedabad -Vadodra Express Highway&#44 Gujarat&#44India.,2/14/2006,22.986419,72.635522,1
10/20/2013 18:55:00,2013-10-20,2013,Oct,20,Sunday,18:55:00,aizawl&#44 mizoram (india),land,Mizoram,in,India,fireball,1800,30 minutes,Fireball like thing hovering in the sky.,10/23/2013,23.727107,92.717639,1
12/04/2012 02:00:00,2012-12-04,2012,Dec,04,Tuesday,2:00:00,akola (india),land,Maharashtra,in,India,cylinder,10,10 seconds,A cylinder cyphor like structure (supersonic) no blades&#44 white in colour&#44duration 5-10 seconds.,3/3/2013,20.7333,77,1
12/30/2007 20:15:00,2007-12-30,2007,Dec,30,Sunday,20:15:00,alappuzha (india),land,Kerala,in,India,unknown,30,about 30 seconds,I have the habit of watching the sky in the night time. During that time&#44 i watched that a light spot&#44 something like aero plane is mov,1/21/2008,9.498067,76.338848,1
03/09/2014 21:00:00,2014-03-09,2014,Mar,09,Sunday,21:00:00,allahabad (india),land,Uttar Pradesh,in,India,fireball,900,15 minutes,A UFO FLYING.,3/18/2014,25.435801,81.846311,1
03/27/2001 21:15:00,2001-03-27,2001,Mar,27,Tuesday,21:15:00,ambala (india),land,Haryana,in,India,fireball,600,10 minutes,The glowing ball changing colors and moving in different directions.,4/1/2001,30.378179,76.776697,1
01/22/2000 17:30:00,2000-01-22,2000,Jan,22,Saturday,17:30:00,aurangabad.maharashtra (india),land,Maharashtra,in,India,fireball,60,1 minute,NUFORC Note:  Witness reports fireball.  PD)),12/2/2000,19.876165,75.343314,1
11/30/2008 19:30:00,2008-11-30,2008,Nov,30,Sunday,19:30:00,balapur&#44 hyderabad (india),land,Telangana,in,India,sphere,7200,2 hours,On the night of November 30th&#44 2008 between 19:30 Hrs to 21:30 Hrs there were 3 pairs of strange lights appeared one after the other an,1/10/2009,17.295086,78.503606,1
04/01/2001 19:00:00,2001-04-01,2001,Apr,01,Sunday,19:00:00,bangalore (india),land,Karnataka,in,India,,10,5-10 seconds,,5/14/2002,12.971599,77.594563,1
05/13/2001 23:15:00,2001-05-13,2001,May,13,Sunday,23:15:00,bangalore (india),land,Karnataka,in,India,other,5,5 secs,Sighting over Bangalore&#44 India,8/5/2001,12.971599,77.594563,1
11/15/2001 19:15:00,2001-11-15,2001,Nov,15,Thursday,19:15:00,bangalore (india),land,Karnataka,in,India,unknown,180,2-3 minutes,At the outset&#44 I would like to make it clear that at the time of the sighting&#44 I had scant knowledge of the internet (way back in 2001),4/13/2010,12.971599,77.594563,1
03/21/2004 02:30:00,2004-03-21,2004,Mar,21,Sunday,2:30:00,bangalore (india),land,Karnataka,in,India,cigar,900,15minutes,A bar like object  sighted in India which was in a stand still position illuminating light downwards on to ground.,6/4/2004,12.971599,77.594563,1
11/05/2004 05:45:00,2004-11-05,2004,Nov,05,Friday,5:45:00,bangalore (india),land,Karnataka,in,India,chevron,12,10-12seconds,November 5 2004 &#44 CHEVRON shaped UFO,9/2/2005,12.971599,77.594563,1
11/05/2004 05:45:00,2004-11-05,2004,Nov,05,Friday,5:45:00,bangalore (india),land,Karnataka,in,India,other,10,10 seconds,Boomerang/V shaped UFO&#44 atleast as big as boeing747&#44 over Bangalore &#44India&#44  on nov 5th 04,12/3/2004,12.971599,77.594563,1
01/14/2005 23:00:00,2005-01-14,2005,Jan,14,Friday,23:00:00,bangalore (india),land,Karnataka,in,India,light,60,1minute,Red Blinking light that travelled at a good speed and made no Sound,1/19/2005,12.971599,77.594563,1
01/09/2006 03:20:00,2006-01-09,2006,Jan,09,Monday,3:20:00,bangalore (india),land,Karnataka,in,India,cone,130,130sec,A BRIGHT LIGHT IN THE SKY FOR TWO MIN AND FINALLY IT BECAME INVISIBLE,2/14/2006,12.971599,77.594563,1
01/06/2007 21:00:00,2007-01-06,2007,Jan,06,Saturday,21:00:00,bangalore (india),land,Karnataka,in,India,circle,5400,1.5 hrs,http://www.ibnlive.com/news/spotted-ufo-in-bangalore-airspace/41661-11.html,6/12/2007,12.971599,77.594563,1
07/16/2007 22:15:00,2007-07-16,2007,Jul,16,Monday,22:15:00,bangalore (india),land,Karnataka,in,India,unknown,2,2 seconds,a bright flying object disappeared,8/7/2007,12.971599,77.594563,1
09/12/2007 06:00:00,2007-09-12,2007,Sep,12,Wednesday,6:00:00,bangalore (india),land,Karnataka,in,India,sphere,20,20 secs,Spherical body shot in the morning sky,10/8/2007,12.971599,77.594563,1
11/16/2007 19:15:00,2007-11-16,2007,Nov,16,Friday,19:15:00,bangalore (india),land,Karnataka,in,India,circle,30,30 seconds,Star-like circular object moving at great speed,11/28/2007,12.971599,77.594563,1
11/22/2008 19:30:00,2008-11-22,2008,Nov,22,Saturday,19:30:00,bangalore (india),land,Karnataka,in,India,circle,1500,25 minutes,Bright lighted object seen at Bangalore 22nd November 2008,1/10/2009,12.971599,77.594563,1
