datetime,date,year,month,date,day,time,city,"location (land, in space, at sea, in flight)",state,country,country name,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,sightings
06/06/1958 18:45:00,1958-06-06,1958,Jun,06,Friday,18:45:00,sydney (nsw&#44 australia),land,nsw,au,Australia,,2700,45 min,In the winter months of 1958 on a clear winter night while looking at the southern cross&#44 a star formation I now know is called the Cru,5/13/2003,-33.861481,151.205475,1
07/29/1960 19:30:00,1960-07-29,1960,Jul,29,Friday,19:30:00,melbourne (australia),land,vic,au,Australia,triangle,180,3 min,1960 @ 30DEG ABOVE HORIZON 3 TRIANGULAR OBJECT IN SKY WITH ORANGE TAILS BEHIND ALL  FLYING @ LEVEL,12/12/2011,-37.813938,144.963425,1
03/29/1963 20:00:00,1963-03-29,1963,Mar,29,Friday,20:00:00,clunes/maryborough (near) (australia),land,vic,au,Australia,disk,1.5,hours,Same event witnessed in Clunes Australia and Clunies in France ((NUFORC Note:  More information requested of witness.  PD)),4/16/2005,-37.289293,143.762161,1
07/21/1996 01:30:00,1996-07-21,1996,Jul,21,Sunday,1:30:00,newtown&#44 tas (australia),land,tas,au,Australia,egg,120,under 2 minutes,I was in my room&#44 and I saw to lights in the sky&#44 they hovered over me for a few minutes&#44 and then shoot off toward the mountain.,7/5/1999,-42.851178,147.30231,1
06/01/1968 00:00:00,1968-06-01,1968,Jun,01,Saturday,0:00:00,brisbane (australia),land,qld,au,Australia,triangle,300,5 minutes,The UFO was black&#44 with red lights and strange markings on it.,12/12/2009,-27.47101,153.024292,1
02/05/1972 19:00:00,1972-02-05,1972,Feb,05,Saturday,19:00:00,hoppers crossing (australia),land,vic,au,Australia,oval,600,10min,three u.f.o in triangular formation 500m apart moving slowly sidewards then rapidly then 90deg upward and gone,11/20/2001,-37.869,144.693,1
07/29/2012 18:40:00,2012-07-29,2012,Jul,29,Sunday,18:40:00,cleveland (australia),land,tas,au,Australia,circle,480,8 minutes,Three pink/orange spheres spotted over Cleveland&#44 Queensland&#44 Australia,8/5/2012,-41.8,147.4,1
12/07/2007 20:55:00,2007-12-07,2007,Dec,07,Friday,20:55:00,launceston (australia),land,tas,au,Australia,,3600,60 minutes,Ufos seen from Australian suburb&#44 two days running.,4/17/2008,-41.438759,147.134674,1
07/17/2009 20:30:00,2009-07-17,2009,Jul,17,Friday,20:30:00,launceston (australia),land,tas,au,Australia,light,420,5-7 min,Slow moving &#44 bright orange starlike object at high altitude.  ((NUFORC Note:  Not a sighting of the ISS.  PD)),8/5/2009,-41.438759,147.134674,1
07/15/1974 12:00:00,1974-07-15,1974,Jul,15,Monday,12:00:00,cairns (australia),land,qld,au,Australia,cigar,3600,approx. 1hr,7/ 74 - Cairns Ql d. Australia - Cigar  - 1hr - Watched silver ship stationary in sky for 1hr then took off at great speed into the dis,6/9/2009,-16.92304,145.766251,1
02/23/1975 05:00:00,1975-02-23,1975,Feb,23,Sunday,5:00:00,ballarat (australia),land,vic,au,Australia,unknown,120,2 mins,many years ago my brother and i heard a &#39whirling&#39 loud sound maybe 10&#39 above our heads one early morning but could&#39nt see anythingt,6/12/2002,-37.56266,143.862579,1
03/06/1975 02:00:00,1975-03-06,1975,Mar,06,Thursday,2:00:00,melbourne (vic&#44 australia),land,vic,au,Australia,diamond,1800,30 minutes,The object my cousin and i saw was hexaganal in shape&#44orange in colour&#44hovering low and  at a slow velocity. It appeared to be about a,12/20/2000,-37.813938,144.963425,1
04/01/1975 20:15:00,1975-04-01,1975,Apr,01,Tuesday,20:15:00,mildura&#44 victoria (australia),land,vic,au,Australia,disk,1200,20 minutes,A Black Disc with lights going around,7/14/2013,-34.206301,142.135832,1
06/16/1975 00:00:00,1975-06-16,1975,Jun,16,Monday,0:00:00,moe (victoria) (australia),land,vic,au,Australia,disk,4,4 seconds,1970s Moe Victoria Australia&#44 Edward Hunter Reserve UFO not a hoax.,3/21/2003,-38.17828,146.260986,1
10/12/1975 01:00:00,1975-10-12,1975,Oct,12,Sunday,1:00:00,perth (w. of; southern cross) (western australia),land,wa,au,Australia,fireball,900,15 minutes,fire ball and min min,6/18/2004,-31.95224,115.861397,1
03/18/2011 20:13:00,2011-03-18,2011,Mar,18,Friday,20:13:00,george town (australia),land,tas,au,Australia,circle,480,8 minutes,Green circular light flying down the river&#44 but it was dead silent and un-explained.,3/23/2011,-41.105591,146.826065,1
01/07/1976 23:00:00,1976-01-07,1976,Jan,07,Wednesday,23:00:00,stansbury (south australia),land,sa,au,Australia,rectangle,180,2 to 3 minutes,It was a clear night&#44 two people witnessed the sighting&#44no other aircraft were in the vicinity&#44the size was stunning.,2/22/2002,-34.911079,137.799026,1
07/24/2005 22:50:00,2005-07-24,2005,Jul,24,Sunday,22:50:00,meeniyan (australia),land,vic,au,Australia,cigar,50,40/50 sec,24/7/05 meeniyan vic . cigar shaped object orange lights  50 seconds 1/8/05,9/2/2005,-38.576889,146.019333,1
12/10/1976 19:30:00,1976-12-10,1976,Dec,10,Friday,19:30:00,sydney (nsw&#44 australia),land,nsw,au,Australia,light,3,3 seconds app.,Two objects of light shoot silently across the night sky.,12/23/2002,-33.861481,151.205475,1
01/10/1977 11:00:00,1977-01-10,1977,Jan,10,Monday,11:00:00,adelaide (south australia),land,sa,au,Australia,disk,30,30 seconds,Several people  witnessed positive UFO on clear day.,10/7/2003,-34.928661,138.598633,1
02/01/1978 21:00:00,1978-02-01,1978,Feb,01,Wednesday,21:00:00,perth (western australia),land,wa,au,Australia,sphere,120,2 minutes,Bright orange glow. Stationary.,1/28/1999,-31.95224,115.861397,1
03/04/2012 23:00:00,2012-03-04,2012,Mar,04,Sunday,23:00:00,gippsland (australia),land,vic,au,Australia,rectangle,10,10 seconds,Yellow/golden&#44 large&#44 rectangular &#44 slow moving object with stars/lights in and around it.,3/13/2012,-38.266702,146.741207,1
03/20/1979 22:45:00,1979-03-20,1979,Mar,20,Tuesday,22:45:00,sydney (nsw&#44 australia),land,nsw,au,Australia,circle,5,5 seconds,Green Ball travelling E to  W 1&#44500  altitude. Entered cloud&#44 changed direction.,7/1/2002,-33.861481,151.205475,1
01/01/1980 19:00:00,1980-01-01,1980,Jan,01,Tuesday,19:00:00,yorkeys knob (north of cairns) (qld&#44 australia)),land,qld,au,Australia,other,600,2 - 10 minutes,1 slow moving UFO rising from East (ocean) to West&#44 on straight path&#44 rectangular/cylindrical shape.,6/20/2005,-16.816667,145.716667,1
12/23/1980 00:00:00,1980-12-23,1980,Dec,23,Tuesday,0:00:00,cairns (qld&#44 australia),land,qld,au,Australia,disk,600,10mins,I remember it was close to Christmas and I had preyed to God for months and months every night to please do something about my abusive,12/2/2000,-16.92304,145.766251,1
01/15/1981 13:00:00,1981-01-15,1981,Jan,15,Thursday,13:00:00,canberra (australia),land,act,au,Australia,disk,3600,1 hour,silver round stationary 50&#44000 feet 1 hour cesna in size robot in appearence 1981 canberra australia 6 saw 1pm clear day.,2/14/2006,-35.27603,149.13435,1
04/20/1982 20:00:00,1982-04-20,1982,Apr,20,Tuesday,20:00:00,brisbane (qld&#44 australia),land,qld,au,Australia,light,300,approx: hour and a half,HBCCUFO CANADIAN REPORT:  Object breaks into parts followed by military helicopters.,3/17/2004,-27.47101,153.024292,1
07/01/1982 00:00:00,1982-07-01,1982,Jul,01,Thursday,0:00:00,gold coast (australia),land,qld,au,Australia,circle,10,10 sec,this i clearly remeber and I am a focased business man in Australia,12/12/2011,-28.00029,153.430878,1
04/15/1983 21:00:00,1983-04-15,1983,Apr,15,Friday,21:00:00,brisbane (qld&#44 australia),land,qld,au,Australia,changing,37800,1 1/2 hours,A brilliant blue-white light performs amazing acrobatics for an hour and a half over the city of Brisbane.,8/16/2002,-27.47101,153.024292,1
06/30/1983 20:00:00,1983-06-30,1983,Jun,30,Thursday,20:00:00,dunmore (nsw&#44 australia),land,nsw,au,Australia,diamond,2400,30 - 40 minutes,Mother Craft that released 3 Smaller Craft - Witness of the Craft leaving the atmosphere,8/16/2002,-38.15,141.883333,1
09/01/1983 21:00:00,1983-09-01,1983,Sep,01,Thursday,21:00:00,rosedale&#44 queensland  (australia),land,qld,au,Australia,light,600,10 minutes,lights in Milky Way&#44 changed directions&#44 very low very bright&#44 no night noises&#44 only a hum very bright light ran away...,7/5/1999,-24.628035,151.91414,1
09/07/1983 19:30:00,1983-09-07,1983,Sep,07,Wednesday,19:30:00,sydney (australia),land,nsw,au,Australia,light,15,15 seconds,Moving light in Sydney&#44 Australia,3/13/2012,-33.861481,151.205475,1
06/01/1984 00:00:00,1984-06-01,1984,Jun,01,Friday,0:00:00,perth (western australia),land,wa,au,Australia,,1200,20 minutes,I encountered three small grey creatures and a rolling ball of light while walking at a near by lake.,7/1/2002,-31.95224,115.861397,1
11/15/2003 00:00:00,2003-11-15,2003,Nov,15,Saturday,0:00:00,moe (australia),land,vic,au,Australia,light,300,5 mins,a moving object seen in the distant stars,3/2/2004,-38.17828,146.260986,1
03/07/2013 20:30:00,2013-03-07,2013,Mar,07,Thursday,20:30:00,belmont (australia),land,vic,au,Australia,light,180,2-3 minutes,Bright light.  Seen for 2-3 min left at high speed.  ((NUFORC Note:  Possible sighting of the ISS&#44 we wonder..  PD)),4/12/2013,-38.166667,144.35,1
01/19/2011 22:35:00,2011-01-19,2011,Jan,19,Wednesday,22:35:00,geelong (australia),land,vic,au,Australia,light,60,within 60 seconds,faint light dropping towards the horizon then shooting backwards and dissapearing.,1/31/2011,-38.153461,144.358093,1
